,t,condition,cR,c1,c2,c3,c4,rR,r1,r2,r3,r4,A,N,G
133,23,(LHH),920,0,1,21,19,0.957336108,0,0.001040583,0.021852237,0.019771072,0.1,0.5,0.5
142,23,(H_L),398,5,98,564,321,0.287157287,0.003607504,0.070707071,0.406926407,0.231601732,1,0,0.005
141,23,(LH_),711,2,9,11,4,0.964721845,0.002713704,0.012211669,0.014925373,0.005427408,0.1,0.5,0
140,23,(HH_),1124,2,6,14,12,0.970639033,0.001727116,0.005181347,0.01208981,0.010362694,1,0.5,0
139,23,(LM_),304,44,305,146,17,0.37254902,0.053921569,0.37377451,0.178921569,0.020833333,0.1,0.05,0
138,23,(HM_),310,1,68,432,264,0.288372093,0.000930233,0.063255814,0.401860465,0.245581395,1,0.05,0
143,23,(L_L),329,146,317,27,1,0.401219512,0.17804878,0.386585366,0.032926829,0.001219512,0.1,0,0.005
136,23,(HL_),199,1,61,467,409,0.175021988,0.000879507,0.053649956,0.410729991,0.359718558,1,0.005,0
135,23,(LMM),683,114,206,23,2,0.664396887,0.110894942,0.200389105,0.022373541,0.001945525,0.1,0.05,0.05
134,23,(HMM),1091,2,21,51,18,0.922231615,0.001690617,0.017751479,0.043110735,0.015215554,1,0.05,0.05
132,23,(HHH),811,2,1,1,1,0.993872549,0.00245098,0.00122549,0.00122549,0.00122549,1,0.5,0.5
137,23,(LL_),366,141,359,53,0,0.398258977,0.153427639,0.390642002,0.057671382,0,0.1,0.005,0
130,23,(HHL),540,1,2,7,11,0.962566845,0.001782531,0.003565062,0.012477718,0.019607843,1,0.5,0.005
129,23,(LLH),864,2,12,1,0,0.982935154,0.002275313,0.013651877,0.001137656,0,0.1,0.005,0.5
128,23,(HLH),523,0,1,0,0,0.998091603,0,0.001908397,0,0,1,0.005,0.5
127,23,(LLL),201,119,266,19,0,0.332231405,0.196694215,0.439669421,0.031404959,0,0.1,0.005,0.005
126,23,(HLL),243,7,63,177,55,0.44587156,0.012844037,0.11559633,0.324770642,0.100917431,1,0.005,0.005
125,23,(L__),329,248,477,39,3,0.300182482,0.226277372,0.435218978,0.035583942,0.002737226,0.1,0,0
124,23,(H__),158,2,38,336,154,0.229651163,0.002906977,0.055232558,0.488372093,0.223837209,1,0,0
123,23,(L_H),579,6,5,1,0,0.979695431,0.010152284,0.008460237,0.001692047,0,0.1,0,0.5
122,23,(H_H),545,0,0,0,0,1,0,0,0,0,1,0,0.5
121,23,(L_M),347,248,248,3,0,0.410165485,0.293144208,0.293144208,0.003546099,0,0.1,0,0.05
120,23,(H_M),1054,8,47,190,94,0.756640345,0.005743001,0.033740129,0.136396267,0.067480258,1,0,0.05
131,23,(LHL),980,1,4,10,5,0.98,0.001,0.004,0.01,0.005,0.1,0.5,0.005
158,37,(HMM),459,5,41,132,41,0.67699115,0.007374631,0.060471976,0.194690265,0.060471976,1,0.05,0.05
159,37,(LMM),420,248,414,35,0,0.376007162,0.222023277,0.370635631,0.03133393,0,0.1,0.05,0.05
160,37,(HL_),129,0,55,479,386,0.122974261,0,0.052430887,0.456625357,0.367969495,1,0.005,0
162,37,(HM_),160,6,73,658,495,0.114942529,0.004310345,0.052442529,0.472701149,0.355603448,1,0.05,0
167,37,(L_L),213,187,446,42,0,0.239864865,0.210585586,0.502252252,0.047297297,0,0.1,0,0.005
164,37,(HH_),973,2,7,20,11,0.960513327,0.001974334,0.006910168,0.019743337,0.010858835,1,0.5,0
165,37,(LH_),986,12,12,10,13,0.954501452,0.011616651,0.011616651,0.009680542,0.012584705,0.1,0.5,0
166,37,(H_L),138,5,85,568,362,0.119170984,0.004317789,0.073402418,0.490500864,0.312607945,1,0,0.005
157,37,(LHH),911,24,7,16,18,0.933401639,0.024590164,0.007172131,0.016393443,0.018442623,0.1,0.5,0.5
163,37,(LM_),254,33,310,176,16,0.321926489,0.041825095,0.392902408,0.223067174,0.020278834,0.1,0.05,0
156,37,(HHH),633,1,1,2,1,0.992163009,0.001567398,0.001567398,0.003134796,0.001567398,1,0.5,0.5
161,37,(LL_),284,211,511,74,4,0.26199262,0.194649446,0.471402214,0.068265683,0.003690037,0.1,0.005,0
154,37,(HHL),624,1,0,15,8,0.962962963,0.00154321,0,0.023148148,0.012345679,1,0.5,0.005
153,37,(LLH),710,8,8,0,0,0.977961433,0.011019284,0.011019284,0,0,0.1,0.005,0.5
152,37,(HLH),408,5,1,5,1,0.971428571,0.011904762,0.002380952,0.011904762,0.002380952,1,0.005,0.5
151,37,(LLL),187,225,422,23,2,0.217694994,0.26193248,0.491268917,0.02677532,0.002328289,0.1,0.005,0.005
150,37,(HLL),120,11,95,370,235,0.144404332,0.013237064,0.114320096,0.445246691,0.282791817,1,0.005,0.005
149,37,(L__),259,263,544,69,0,0.228193833,0.231718062,0.479295154,0.060792952,0,0.1,0,0
148,37,(H__),63,1,44,328,291,0.086657497,0.001375516,0.060522696,0.451169188,0.400275103,1,0,0
147,37,(L_H),986,15,5,0,1,0.979145978,0.01489573,0.004965243,0,0.000993049,0.1,0,0.5
146,37,(H_H),657,0,2,0,2,0.993948563,0,0.003025719,0,0.003025719,1,0,0.5
145,37,(L_M),501,321,308,3,1,0.441798942,0.283068783,0.271604938,0.002645503,0.000881834,0.1,0,0.05
144,37,(H_M),551,10,51,242,93,0.581837381,0.010559662,0.053854277,0.255543823,0.098204857,1,0,0.05
155,37,(LHL),950,11,7,6,5,0.970377937,0.011235955,0.007150153,0.006128703,0.005107252,0.1,0.5,0.005
9,111,(LLH),388,7,3,0,0,0.97,0.02,0.01,0,0,0.1,0.005,0.5
8,111,(HLH),423,4,4,1,0,0.98,0.01,0.01,0,0,1,0.005,0.5
7,111,(LLL),141,102,241,16,4,0.28,0.2,0.48,0.03,0.01,0.1,0.005,0.005
6,111,(HLL),67,0,61,431,403,0.07,0,0.06,0.45,0.42,1,0.005,0.005
1,111,(L_M),453,286,249,1,1,0.46,0.29,0.25,0,0,0.1,0,0.05
4,111,(H__),36,0,20,353,236,0.06,0,0.03,0.55,0.37,1,0,0
3,111,(L_H),774,19,9,0,0,0.97,0.02,0.01,0,0,0.1,0,0.5
2,111,(H_H),411,2,0,0,0,1,0,0,0,0,1,0,0.5
10,111,(HHL),415,2,28,82,53,0.72,0,0.05,0.14,0.09,1,0.5,0.005
5,111,(L__),190,170,372,49,3,0.24,0.22,0.47,0.06,0,0.1,0,0
11,111,(LHL),816,20,133,157,94,0.67,0.02,0.11,0.13,0.08,0.1,0.5,0.005
17,111,(LL_),177,195,431,53,1,0.21,0.23,0.5,0.06,0,0.1,0.005,0
13,111,(LHH),910,16,10,9,15,0.95,0.02,0.01,0.01,0.02,0.1,0.5,0.5
14,111,(HMM),282,3,44,153,50,0.53,0.01,0.08,0.29,0.09,1,0.05,0.05
15,111,(LMM),329,289,495,34,2,0.29,0.25,0.43,0.03,0,0.1,0.05,0.05
16,111,(HL_),60,0,39,536,383,0.06,0,0.04,0.53,0.38,1,0.005,0
18,111,(HM_),89,2,46,465,307,0.1,0,0.05,0.51,0.34,1,0.05,0
19,111,(LM_),220,39,378,207,27,0.25,0.04,0.43,0.24,0.03,0.1,0.05,0
20,111,(HH_),376,7,179,183,79,0.46,0.01,0.22,0.22,0.1,1,0.5,0
21,111,(LH_),544,31,142,129,88,0.58,0.03,0.15,0.14,0.09,0.1,0.5,0
22,111,(H_L),71,3,59,646,383,0.06,0,0.05,0.56,0.33,1,0,0.005
23,111,(L_L),180,173,323,39,0,0.25,0.24,0.45,0.05,0,0.1,0,0.005
12,111,(HHH),348,4,1,2,3,0.97,0.01,0,0.01,0.01,1,0.5,0.5
0,111,(H_M),351,4,33,226,200,0.43,0,0.04,0.28,0.25,1,0,0.05
